ID,Crop_Group,Production_Mode,Crop,Field_area,Irrigation,Irrigation_mode,Greenhouse
441,Vegetable,Primary,Coriander and parsley,0.35,Yes,Localized,No
442,Vegetable,Primary,Zucchini,0.45,Yes,Localized,No
443,Vegetable,In succession,Green bean,0.4,No,NA,No
444,Vegetable,Primary,Cucumber,0.2,Yes,Aspersion,Big Tunel
445,Vegetable,Primary,Tomato,0.19,Yes,Aspersion,Big Tunel
446,Vegetable,Primary,Zucchini,0.2,Yes,Localized,No
447,Vegetable,Primary,Coriander and parsley,0.52,Yes,Localized,No
448,Vegetable,In succession,Coriander and parsley,0.2,Yes,Localized,No
449,Vegetable,Primary,Celery,1.02,Yes,Localized,No
450,Vegetable,Primary,Tomato,1.02,Yes,Localized,No
451,Vegetable,Primary,Cucumber,0.1,Yes,Localized,No
452,Vegetable,In association,Coriander and parsley,1.05,No,NA,No
453,Vegetable,Primary,Coriander and parsley,0.6,Yes,Localized,No
454,Vegetable,Primary,Coriander and parsley,0.903,Yes,Localized,No
455,Vegetable,In association,Mint,0.08,Yes,Localized,No
456,Vegetable,In succession,Green bean,1,Yes,Localized,No
457,Vegetable,Primary,Zucchini,1,Yes,Localized,No
458,Vegetable,Primary,Coriander and parsley,0.9,Yes,Localized,No
459,Vegetable,Primary,Tomato,0.59,Yes,Localized,Big Tunel
460,Vegetable,Primary,Cucumber,0.5,Yes,Localized,Big Tunel
461,Vegetable,Primary,Celery,1.1,No,NA,No
462,Vegetable,Primary,Tomato,0.58,Yes,Localized,Small tunel
463,Vegetable,Primary,Potato,0.29,Yes,Localized,Small tunel
464,Vegetable,Primary,Strawberry,0.29,Yes,Localized,Big Tunel
465,Vegetable,In succession,Strawberry,20,Yes,"Gravity, Localized",Small tunel
466,Vegetable,Primary,Strawberry,20,Yes,"Gravity, Localized",Small tunel
467,Vegetable,Primary,Zucchini,0.3,Yes,Localized,No
468,Vegetable,In succession,Zucchini,2,No,NA,No
469,Vegetable,In succession,Artichoke,4.3,No,NA,No
470,Vegetable,In succession,Jerusalem artichoke,2.86,No,NA,No
471,Vegetable,In succession,Eggplant,5.3,No,NA,No
472,Vegetable,In succession,Cauliflower,2.2,No,NA,No
473,Vegetable,Primary,Tomato,2,No,NA,No
474,Vegetable,Primary,Potato,4.3,No,NA,No
475,Vegetable,Primary,Coriander and parsley,0.26,No,NA,No
476,Vegetable,Primary,Potato,2.86,No,NA,No
477,Vegetable,Primary,Potato,5.3,No,NA,No
478,Vegetable,Primary,Tomato,2.2,No,NA,No
479,Vegetable,Primary,Onion,0.3,Yes,Localized,Multi-chapel
480,Vegetable,Primary,Onion,0.35,Yes,Localized,Big Tunel
481,Vegetable,Primary,Coriander and parsley,0.1,Yes,Localized,Big Tunel
482,Vegetable,Primary,Coriander and parsley,0.43,Yes,Localized,No
483,Vegetable,In succession,Tomato,0.42,Yes,"Localized, Pivot",No
484,Vegetable,In succession,Potato,1.1,Yes,Gravity,No
485,Vegetable,In succession,Tomato,1.88,No,"Localized, Pivot",No
486,Vegetable,Primary,Mint,0.35,Yes,Localized,No
487,Vegetable,In succession,Potato,1.5,Yes,Localized,No
488,Vegetable,Primary,Cucumber,0.2,Yes,Localized,Multi-chapel
489,Vegetable,Primary,Green bean,1.5,Yes,Localized,No
490,Vegetable,Primary,Cucumber,0.3,No,Localized,Multi-chapel
491,Vegetable,Primary,Green bean,0.2,No,NA,No
492,Vegetable,Primary,Cucumber,1,No,Localized,No
493,Vegetable,In succession,Carrot,2.15,No,NA,No
494,Vegetable,Primary,Tomato,2.15,No,NA,No
495,Vegetable,In succession,Jerusalem artichoke,6.03,No,NA,No
496,Vegetable,In succession,Zucchini,6.01,No,NA,No
497,Vegetable,Primary,Potato,6.03,No,NA,No
498,Vegetable,Primary,Potato,6.01,No,NA,No
499,Vegetable,Primary,Cucumber,0.8,Yes,Localized,Multi-chapel
500,Vegetable,Primary,Coriander and parsley,0.1,Yes,Localized,No
501,Vegetable,Primary,Zucchini,0.67,Yes,Localized,No
502,Vegetable,Primary,Tomato,0.46,Yes,Aspersion,No
503,Vegetable,Primary,Zucchini,0.64,Yes,Localized,No
504,Vegetable,Primary,Mint,0.2,No,NA,No
505,Vegetable,Primary,Mint,0.18,No,NA,No
506,Vegetable,Primary,Potato,0.27,Yes,Localized,Big Tunel
507,Vegetable,Primary,Tomato,0.1,Yes,Localized,Big Tunel
508,Vegetable,Primary,Cucumber,0.28,Yes,Localized,No
509,Vegetable,Primary,Zucchini,0.12,Yes,Localized,No
510,Vegetable,In succession,Green bean,3.1,Yes,Localized,No
511,Vegetable,In succession,Zucchini,2,Yes,Localized,No
512,Vegetable,Primary,Potato,4,Yes,Localized,No
513,Vegetable,Primary,Potato,3.1,Yes,Localized,No
514,Vegetable,Primary,Tomato,2,Yes,Localized,No
515,Vegetable,Primary,Green bean,0.88,Yes,Localized,No
516,Vegetable,Primary,Zucchini,0.5,Yes,Localized,No
517,Vegetable,Primary,Potato,0.2,Yes,Gravity,No
518,Vegetable,Primary,Potato,0.54,Yes,"Gravity, Localized",No
519,Vegetable,Primary,Zucchini,0.5,Yes,"Gravity, Localized",No
520,Vegetable,Primary,Potato,0.28,Yes,Localized,No
521,Vegetable,Primary,Potato,0.27,Yes,Localized,No
522,Vegetable,Primary,Potato,0.6,No,NA,No
523,Vegetable,In succession,Zucchini,2,Yes,Localized,No
524,Vegetable,Primary,Potato,2.65,Yes,Localized,No
525,Vegetable,Primary,Tomato,2,Yes,Localized,No
526,Vegetable,Primary,Tomato,1,Yes,Localized,No
527,Vegetable,In succession,Carrot,9.01,No,NA,No
528,Vegetable,In succession,Zucchini,8,No,NA,No
529,Vegetable,In succession,Eggplant,7,No,NA,No
530,Vegetable,Primary,Potato,9.01,No,NA,No
531,Vegetable,Primary,Potato,8,No,NA,No
532,Vegetable,Primary,Potato,7,No,NA,No
533,Vegetable,Primary,Cucumber,0.88,Yes,Localized,Big Tunel
534,Vegetable,Primary,Tomato,0.2,Yes,"Localized, Pivot",No
535,Vegetable,Primary,Coriander and parsley,0.1,Yes,"Localized, Pivot",No
536,Vegetable,Primary,Mint,0.68,Yes,Localized,No
537,Vegetable,Primary,Potato,0.15,Yes,Localized,No
538,Vegetable,Primary,Potato,0.1,Yes,Localized,No
539,Vegetable,In association,Absinthe,1.75,Yes,Gravity,No
540,Vegetable,Primary,Mint,0.08,Yes,Gravity,No
541,Vegetable,In succession,Green bean,4.36,No,NA,No
542,Vegetable,Primary,Potato,4.36,No,NA,No
543,Vegetable,Primary,Cucumber,0.3,Yes,Localized,No
544,Vegetable,In succession,Zucchini,3.08,Yes,Localized,No
545,Vegetable,In succession,Cauliflower,3,Yes,Localized,No
546,Vegetable,Primary,Potato,3.08,Yes,Localized,No
547,Vegetable,Primary,Potato,3,Yes,Localized,No
548,Vegetable,In succession,Zucchini,2.34,No,Localized,No
549,Vegetable,In succession,Carrot,4.18,No,NA,No
550,Vegetable,Primary,Tomato,2.34,No,Localized,No
551,Vegetable,Primary,Potato,4.18,No,NA,No
552,Vegetable,Primary,Zucchini,1.64,No,NA,No
553,Vegetable,In succession,Zucchini,2.05,Yes,Localized,No
554,Vegetable,Primary,Potato,2.05,Yes,Localized,No
555,Vegetable,Primary,Cucumber,1.09,Yes,Localized,Big Tunel
556,Vegetable,Primary,Cucumber,1,Yes,Localized,Big Tunel
557,Vegetable,In succession,Cucumber,1.93,Yes,Localized,Big Tunel
558,Vegetable,Primary,Tomato,1.93,Yes,Localized,Big Tunel
559,Vegetable,Primary,Cucumber,1.1,Yes,Localized,Big Tunel
560,Vegetable,Primary,Green bean,0.56,No,NA,No
561,Vegetable,Primary,Green bean,0.69,No,NA,No
562,Vegetable,Primary,Cucumber,0.29,No,NA,Big Tunel
563,Vegetable,In succession,Mint,3.08,No,NA,No
564,Vegetable,Primary,Potato,3.08,No,NA,No
565,Vegetable,Primary,Potato,0.25,Yes,Localized,No
566,Vegetable,In association,Tomato,0.1,Yes,Localized,No
567,Vegetable,In association,Carrot,0.09,Yes,Localized,No
568,Vegetable,In succession,Carrot,3.34,No,NA,No
569,Vegetable,In succession,Zucchini,2,No,NA,No
570,Vegetable,Primary,Potato,3.34,No,NA,No
571,Vegetable,Primary,Tomato,2,No,NA,No
572,Vegetable,Primary,Eggplant,1.18,No,NA,No
573,Vegetable,Primary,Cucumber,0.77,Yes,Localized,Small tunel
574,Vegetable,Primary,Cucumber,0.75,Yes,Localized,Small tunel
575,Vegetable,In association,Mint,0.38,Yes,Localized,No
576,Vegetable,Primary,Potato,1.53,Yes,Localized,No
577,Vegetable,In association,Tomato,1,Yes,Localized,No
578,Vegetable,In association,Cucumber,0.5,Yes,Gravity,No
579,Vegetable,In succession,Cucumber,1.65,Yes,Localized,Small tunel
580,Vegetable,Primary,Tomato,1.65,Yes,Localized,Small tunel
581,Vegetable,Primary,Mint,0.2,Yes,Localized,No
582,Vegetable,In association,Celery,0.1,Yes,Localized,No
583,Vegetable,In association,Coriander and parsley,0.1,Yes,Localized,No
584,Vegetable,Primary,Kiwat tomato,0.616,Yes,Localized,No
585,Vegetable,In association,Potato,0.5,Yes,Localized,No
586,Vegetable,Primary,Tomato,0.26,Yes,Localized,No
587,Vegetable,In association,Potato,0.2,Yes,Localized,No
588,Vegetable,Primary,Tomato,0.5,Yes,Localized,No
589,Vegetable,In association,Potato,0.38,Yes,Localized,No
590,Vegetable,Primary,Tomato,1.7,Yes,Localized,No
591,Vegetable,In association,Potato,1,Yes,Localized,No
592,Vegetable,In association,Mint,0.5,Yes,Localized,No
593,Vegetable,Primary,Zucchini,1,Yes,Localized,No
594,Vegetable,Primary,Hot pepper,1,Yes,Localized,No
595,Vegetable,Primary,Cucumber,0.23,Yes,Localized,No
596,Vegetable,Primary,Potato,0.41,Yes,Localized,No
597,Vegetable,In association,Tomato,0.3,Yes,Localized,No
598,Vegetable,Primary,Potato,0.5,Yes,Localized,No
599,Vegetable,In association,Tomato,0.26,Yes,Localized,No
600,Vegetable,Primary,Potato,0.5,Yes,Localized,No
601,Vegetable,In association,Tomato,0.47,Yes,Localized,No
602,Vegetable,In succession,Zucchini,3,Yes,Localized,No
603,Vegetable,Primary,Potato,3,Yes,Localized,No
604,Vegetable,Primary,Zucchini,0.56,Yes,Localized,No
605,Vegetable,Primary,Mint,0.9,Yes,Localized,No
606,Vegetable,Primary,Kiwat tomato,0.75,Yes,Localized,No
